playerID,MVP,Gold_Glove,Cy_Young_Award,All_Star_Game,Batting_Seasons_Number,Batting_LastSeason,Batting_Games,Batting_At_Bats,Batting_Runs,Batting_Hits,Batting_Doubles,Batting_Triples,Batting_Homeruns,Batting_Runs_Batted_In,Batting_Stolen_Bases,Batting_Caught_Steading,Batting_Base_on_Balls,Batting_Intentional_walks,Batting_Hit_by_pitch,Batting_Sacrifice_hits,Batting_Grounded_into_double_plays,Pitching_Wins,Pitching_Games,Pitching_Shutouts,Pitching_Saves,Pitching_Outs_Pitched,Pitching_Earned_Runs,Pitching_Strikeouts,Pitching_ERA,Pitching_HBP,Pitching_BK,Pitching_BFP,Pitching_GF,Pitching_R,inducted
gleaski01,0,0,0,NULL,22,1912,1966,7452,1020,1944,216,80,15,823,328,0,500,0,38,208,0,138,299,10,6,7168,1007,744,39.96999979019165,21,1,1757,30,1511,N
goltzda01,0,0,0,NULL,12,1983,356,94,1,10,0,0,0,7,0,0,10,0,1,12,1,113,353,13,8,6119,836,1105,51.81999945640564,26,10,8628,39,950,N
gomezle01,0,0,0,5,14,1943,368,904,59,133,11,0,0,58,1,1,50,0,2,68,5,189,368,28,9,7509,930,1468,55.00000047683716,19,0,10729,31,1091,Y
gonzaju03,2,0,0,3,17,2005,1689,6556,1061,1936,388,25,434,1404,26,19,457,74,62,2,184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
gonzalu01,0,0,0,5,19,2008,2591,9157,1412,2591,596,68,354,1439,128,87,1155,150,111,10,212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
gonzami01,0,0,0,NULL,17,1932,1042,2829,283,717,123,19,13,263,52,10,231,0,20,69,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
goodedw01,0,0,1,3,16,2000,434,741,60,145,15,5,8,67,1,1,14,0,3,85,13,194,430,24,3,8402,1091,2293,76.05000019073486,78,33,11705,4,1198,N
gordojo01,1,0,0,8,11,1950,1566,5707,914,1530,264,52,253,975,89,60,759,0,29,41,159,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
gordoto01,0,0,0,3,21,2009,893,2,0,0,0,0,0,0,0,0,0,0,0,0,0,138,890,4,158,6324,927,1928,103.90000033378601,38,5,9058,347,1016,N
gosgeji01,0,0,0,NULL,10,1974,705,1815,197,411,67,16,30,177,25,18,217,25,6,17,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
gosligo01,0,0,0,1,18,1938,2287,8656,1483,2735,500,173,248,1609,175,89,949,0,55,162,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
gossari01,0,0,0,6,22,1994,1003,85,1,9,1,0,0,2,0,0,4,0,0,4,2,124,1002,0,310,5428,605,1502,73.59999978542328,47,5,7506,681,670,Y
gowdyha01,0,0,0,NULL,17,1930,1050,2735,270,738,124,27,21,322,59,7,311,0,30,67,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
gracema01,0,4,0,3,16,2003,2245,8065,1179,2445,511,45,173,1146,70,48,1075,115,34,17,191,0,1,0,0,3,1,0,9,0,0,4,1,1,N
granted01,0,0,0,NULL,10,1915,990,3385,399,844,79,30,5,277,153,6,233,0,11,129,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
grantfr99,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
grantge01,0,0,0,NULL,13,1934,1444,4989,912,1508,292,93,105,712,132,53,717,0,23,168,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
grantmu01,0,0,0,1,14,1971,667,759,80,135,25,2,6,65,2,1,37,0,2,48,14,145,571,18,53,7325,985,1267,64.8999992609024,33,3,10293,160,1105,N
greenha01,2,0,0,2,13,1947,1394,5193,1051,1628,379,71,331,1276,58,26,852,0,16,35,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
greenmi01,0,0,0,2,12,1996,1269,4623,657,1400,275,38,130,726,80,43,460,79,39,3,136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
greensh01,0,1,0,2,15,2007,1951,7082,1129,2003,445,35,328,1070,162,52,744,80,80,3,174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
